ID,ProbePoint,Condition,Burst1Panning,Burst1FreqContent,Burst2Panning,Burst2FreqContent,azi,ele,channel,up_ch,down_ch,catch_ele_diff
X,C,1,nearest,low,nearest,low,0,0.03,1,23,76,61.02
X,C,2,nearest,wide,nearest,wide,0,0.03,1,23,76,61.02
X,C,3,nearest,low,ambi,low,0,0.03,1,23,76,61.02
X,C,4,nearest,wide,ambi,wide,0,0.03,1,23,76,61.02
X,C,catch,nearest,low,nearest,low,0,0.03,1,23,76,61.02
X,L4,1,nearest,low,nearest,low,31.72,0,3,44,78,93.99
X,L4,2,nearest,wide,nearest,wide,31.72,0,3,44,78,93.99
X,L4,3,nearest,low,ambi,low,31.72,0,3,44,78,93.99
X,L4,4,nearest,wide,ambi,wide,31.72,0,3,44,78,93.99
X,L4,catch,nearest,low,nearest,low,31.72,0,3,44,78,93.99
X,R4,1,nearest,low,nearest,low,-31.72,0,15,54,86,93.99
X,R4,2,nearest,wide,nearest,wide,-31.72,0,15,54,86,93.99
X,R4,3,nearest,low,ambi,low,-31.72,0,15,54,86,93.99
X,R4,4,nearest,wide,ambi,wide,-31.72,0,15,54,86,93.99
X,R4,catch,nearest,low,nearest,low,-31.72,0,15,54,86,93.99
X,L6,1,nearest,low,nearest,low,69.09,0,4,45,88,93.78
X,L6,2,nearest,wide,nearest,wide,69.09,0,4,45,88,93.78
X,L6,3,nearest,low,ambi,low,69.09,0,4,45,88,93.78
X,L6,4,nearest,wide,ambi,wide,69.09,0,4,45,88,93.78
X,L6,catch,nearest,low,nearest,low,69.09,0,4,45,88,93.78
X,R6,1,nearest,low,nearest,low,-69.09,0,14,53,91,93.78
X,R6,2,nearest,wide,nearest,wide,-69.09,0,14,53,91,93.78
X,R6,3,nearest,low,ambi,low,-69.09,0,14,53,91,93.78
X,R6,4,nearest,wide,ambi,wide,-69.09,0,14,53,91,93.78
X,R6,catch,nearest,low,nearest,low,-69.09,0,14,53,91,93.78
X,L8,1,nearest,low,nearest,low,90,0.46,5,46,79,79.63
X,L8,2,nearest,wide,nearest,wide,90,0.46,5,46,79,79.63
X,L8,3,nearest,low,ambi,low,90,0.46,5,46,79,79.63
X,L8,4,nearest,wide,ambi,wide,90,0.46,5,46,79,79.63
X,L8,catch,nearest,low,nearest,low,90,0.46,5,46,79,79.63
X,R8,1,nearest,low,nearest,low,-90,0.03,13,52,85,78.86
X,R8,2,nearest,wide,nearest,wide,-90,0.03,13,52,85,78.86
X,R8,3,nearest,low,ambi,low,-90,0.03,13,52,85,78.86
X,R8,4,nearest,wide,ambi,wide,-90,0.03,13,52,85,78.86
X,R8,catch,nearest,low,nearest,low,-90,0.03,13,52,85,78.86
