ID,ProbePoint,Condition,Burst1Panning,Burst1FreqContent,Burst2Panning,Burst2FreqContent,azi,ele,channel,up_ch,down_ch,catch_ele_diff,FirstBurstPresented,MovementDir,BlockNum,Burst1_cue_idx,Burst2_cue_idx,Response,ReactionTime
X,R8,catch,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,1,down,BN,6,15,down,0.69399333
X,R6,catch,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,1,down,BN,5,17,down,0.679267406
X,L8,4,nearest,wide,ambi,wide,90,0.46,5,46,79,79.63,1,0,BN,5,12,down,0.6809258460998535
X,L8,2,nearest,wide,nearest,wide,90,0.46,5,46,79,79.63,1,0,BN,10,15,down,0.7161276340484619
X,R4,4,nearest,wide,ambi,wide,-31.72,0,15,54,86,93.99,2,0,BN,19,1,up,0.6479127407073975
X,R8,4,nearest,wide,ambi,wide,-90,0.03,13,52,85,78.86,2,0,BN,13,5,down,0.5705559253692627
X,R4,3,nearest,low,ambi,low,-31.72,0,15,54,86,93.99,2,0,BN,20,2,up,0.6815223693847656
X,R4,catch,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,1,down,BN,5,15,down,0.6332087516784668
X,R6,1,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,2,0,BN,15,1,down,0.8396689891815186
X,L4,1,nearest,low,nearest,low,31.72,0,3,44,78,93.99,1,0,BN,10,11,down,0.8367609977722168
X,R4,2,nearest,wide,nearest,wide,-31.72,0,15,54,86,93.99,2,0,BN,20,7,down,0.9684364795684814
X,L8,3,nearest,low,ambi,low,90,0.46,5,46,79,79.63,1,0,BN,4,14,down,0.7629590034484863
X,R4,4,nearest,wide,ambi,wide,-31.72,0,15,54,86,93.99,1,0,BN,3,11,down,0.5524299144744873
X,R8,3,nearest,low,ambi,low,-90,0.03,13,52,85,78.86,2,0,BN,20,6,up,0.730046272
X,L4,catch,nearest,low,nearest,low,31.72,0,3,44,78,93.99,1,down,BN,10,19,down,1.1498548984527588
X,L8,4,nearest,wide,ambi,wide,90,0.46,5,46,79,79.63,2,0,BN,18,1,up,0.9653205871582031
X,L8,2,nearest,wide,nearest,wide,90,0.46,5,46,79,79.63,2,0,BN,15,8,down,1.2670280933380127
X,C,catch,nearest,low,nearest,low,0,0.03,1,23,76,61.02,2,up,BN,18,8,up,0.6943402290344238
X,R8,2,nearest,wide,nearest,wide,-90,0.03,13,52,85,78.86,2,0,BN,14,2,down,0.7764174938201904
X,L8,3,nearest,low,ambi,low,90,0.46,5,46,79,79.63,2,0,BN,12,5,up,0.8548204898834229
X,L6,2,nearest,wide,nearest,wide,69.09,0,4,45,88,93.78,1,0,BN,3,16,down,0.7921738624572754
X,R8,4,nearest,wide,ambi,wide,-90,0.03,13,52,85,78.86,1,0,BN,2,11,up,1.2361586093902588
X,L6,3,nearest,low,ambi,low,69.09,0,4,45,88,93.78,1,0,BN,2,16,down,0.7207300662994385
X,R8,4,nearest,wide,ambi,wide,-90,0.03,13,52,85,78.86,2,0,BN,20,7,down,0.8716933727264404
X,R8,1,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,2,0,BN,11,1,up,0.7724597454071045
X,L4,3,nearest,low,ambi,low,31.72,0,3,44,78,93.99,2,0,BN,12,6,up,0.646270752
X,C,catch,nearest,low,nearest,low,0,0.03,1,23,76,61.02,1,down,BN,3,20,down,0.7708919048309326
X,L4,4,nearest,wide,ambi,wide,31.72,0,3,44,78,93.99,1,0,BN,2,12,down,0.7586283683776855
X,C,1,nearest,low,nearest,low,0,0.03,1,23,76,61.02,2,0,BN,17,5,down,0.7271106243133545
X,R8,catch,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,1,down,BN,8,18,down,0.6333575248718262
X,C,2,nearest,wide,nearest,wide,0,0.03,1,23,76,61.02,1,0,BN,2,14,down,0.9347658157348633
X,C,catch,nearest,low,nearest,low,0,0.03,1,23,76,61.02,2,up,BN,16,5,down,0.9136514663696289
X,R8,catch,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,2,up,BN,15,6,up,0.9379150867462158
X,R6,2,nearest,wide,nearest,wide,-69.09,0,14,53,91,93.78,1,0,BN,5,19,down,0.6830542087554932
